doc_id,other_doc_id,relationship,relationship_type
166170,186482,Căn cứ,CAN_CU
166170,186888,Căn cứ,CAN_CU
166170,185630,Căn cứ,CAN_CU
38128,25692,Căn cứ,CAN_CU
163441,112025,Thay thế,THAY_THE
168220,166170,Căn cứ,CAN_CU
168220,166269,Căn cứ,CAN_CU
168220,25692,Căn cứ,CAN_CU
133858,143217,Căn cứ,CAN_CU
169221,44209,"Sửa đổi, bổ sung",SUA_DOI_BO_SUNG
169221,25692,Căn cứ,CAN_CU
95652,166170,Căn cứ,CAN_CU
95652,25692,Căn cứ,CAN_CU
f69936f0-6937-11f1-a48d-29bc6b0fd706,146468,Hợp nhất,HOP_NHAT
30402,26750,Căn cứ,CAN_CU
173460,166170,Căn cứ,CAN_CU
173460,25692,Căn cứ,CAN_CU
27257,166170,Căn cứ,CAN_CU
27257,25692,Căn cứ,CAN_CU
143217,133858,Căn cứ,CAN_CU
168859,166170,Căn cứ,CAN_CU
168859,166269,Căn cứ,CAN_CU
168859,25692,Căn cứ,CAN_CU
150974,133858,Căn cứ,CAN_CU
112924,95652,Căn cứ pháp lý,CAN_CU
174218,25692,Căn cứ pháp lý,CAN_CU
168220,166269,Căn cứ pháp lý,CAN_CU
163441,112025,Thay thế,THAY_THE
6e689cd0-6f81-11f1-94d6-fd5d6d5ff793,173695,Văn bản hợp nhất,HOP_NHAT
117310,25692,Căn cứ pháp lý,CAN_CU
